nb_lines,nb_rows,n_neighbors,min_dist,n_components,moyenne reel,moyenne UMAP,std reel,std UMAP,deformation,cpu_time,p-value uniformité global,p-value normalité global,std ratio global,mean ratio global,p-value uni big,p-value norm big,mean ratio big,std ratio big,p-value uni small,p-value norm small,mean ratio small,std ratio small,jaccard similarity
50,5,2,0.1,2,17.03265464,12.84424405,10.26818427,6.565157254,4334.713903,4.328125,0,0,323.3746669,17.16082078,1.41E-156,1.65E-030,0.918922985,1.948543526,0,0,456.6281017,32.34828193,36
50,5,15,0.1,2,17.03265464,7.351631223,10.26818427,4.688326516,464.9608049,1.40625,9.38E-306,0,1.626665183,2.904106565,1.14E-017,0.001644335687,0.1706544697,2.29834053,5.32E-157,2.57E-032,2.127575417,3.508884401,43.23529412
50,5,40,0.1,2,17.03265464,10.16573286,10.26818427,7.977040648,378.6451633,1.78125,1.1E-219,4.67E-038,2.17510246,2.878257319,2.09E-043,6.37E-029,1.265028937,2.29818598,3.18E-105,5.63E-026,2.680562672,3.457382375,35.3203252
50,5,15,0.1,2,17.03265464,18.93959192,10.26818427,12.89962811,231.8696563,1.765625,1.72E-238,9.81E-045,1.844564783,1.86898603,4.29E-017,0.5124670267,0.04882873484,0.8810399427,1.45E-137,3.04E-024,2.202182289,2.85532046,44.70588235
50,5,15,0.5,2,17.03265464,15.33520565,10.26818427,11.54637087,379.2038134,1.9375,0,1.63E-041,1.099348978,1.675509226,8.09E-020,1.96E-016,0.3904664874,1.515963342,1.73E-200,4.77E-030,1.487334582,1.834794839,44.63235294
50,5,15,0.99,2,17.03265464,16.25201243,10.26818427,10.8358511,97.19403669,2.296875,6.44E-246,1.4E-044,0.5982219326,1.274887311,0.0000242,0.000000000000503,0.1660003689,1.090827643,1.4E-157,9.27E-030,0.7874349347,1.458646718,43.41176471
50,5,15,0.1,1,17.03265464,18.36450297,10.26818427,14.87668036,365.1801154,1.890625,0,0,21.89600048,3.768213522,2.19E-027,5.27E-022,0.3107367138,0.9152116615,0,0,30.6879738,6.616561219,41.06617647
50,5,15,0.1,2,17.03265464,17.08769109,10.26818427,12.35216547,230.0954831,2.046875,8.72E-243,3.53E-043,1.825019284,1.988912094,8.72E-049,2.56E-021,0.1577351443,0.937729078,2E-124,8.53E-025,2.103937001,3.038380292,43.15441176
50,5,15,0.1,3,17.03265464,13.51527418,10.26818427,9.320503432,303.9440477,2.265625,2.91E-254,1.9E-036,1.618651399,2.187674334,4.43E-028,1.22E-023,0.5035785468,1.515418009,2.51E-138,3.37E-023,2.020140172,2.858833993,44.41176471
50,15,2,0.1,2,20.13485008,15.02107074,10.36591349,9.431881367,1947.260479,2.03125,0,0,7.068840773,3.018696162,2E-34,4.02E-019,0.9319818081,2.075093183,1.45E-277,7.83E-042,9.859610231,3.960759821,35.33333333
50,15,15,0.1,2,20.13485008,16.38538362,10.36591349,13.21873049,408.9705935,2.34375,6.44E-246,3.98E-041,3.86816628,3.519745895,8.51E-057,1.17E-029,0.9260784845,1.657260949,3.05E-110,2.67E-024,4.703621614,5.37919253,42.97058824
50,15,40,0.1,2,20.13485008,17.08894095,10.36591349,14.7157024,414.0390967,2.015625,9.28E-287,1.2E-042,4.299955441,3.705843467,3.19E-219,4.28E-039,0.5706005991,1.063300864,4.4E-157,5.39E-029,4.763623672,6.344075234,38.72553689
50,15,15,0.1,2,20.13485008,10.89403264,10.36591349,7.331187263,445.6326659,1.796875,1.86E-219,5.02E-043,3.800803316,3.818065513,0.000000000923,0.0000000000473,0.366194083,2.031861325,9.2E-119,7.77E-025,4.729621669,5.601355827,42.36029412
50,15,15,0.5,2,20.13485008,17.73343167,10.36591349,15.00701749,409.4849525,1.875,7.7E-256,1.37E-038,2.311849866,2.645441991,4.37E-075,3.18E-029,1.112307749,1.860762411,1.16E-145,4.48E-025,2.866520217,3.428841506,42.5
50,15,15,0.99,2,20.13485008,17.10293001,10.36591349,13.03690492,251.7765251,1.859375,7.1E-289,4.9E-041,1.439452851,1.957501243,1.28E-142,1.98E-030,0.3858711276,1.09542374,1.09E-175,1.71E-031,1.584075477,2.818172421,42.67647059
50,15,15,0.1,1,20.13485008,6.942592924,10.36591349,5.168278864,638.8861141,1.75,0,0,15.27928308,6.833372208,4.38E-028,1.52E-021,1.119639949,2.992626474,1.65E-268,8.29E-042,20.877023,10.66785245,41.65441176
50,15,15,0.1,2,20.13485008,17.36860474,10.36591349,12.65843494,373.1370921,2.125,0,0,4.573503052,3.439641848,2.71E-022,1.9E-017,0.2792714188,1.335899753,1.26E-215,1.9E-030,5.735159874,5.539952064,42.15441176
50,15,15,0.1,3,20.13485008,17.11659152,10.36591349,11.74445659,310.8563949,2.25,0,0,3.813888977,3.221977015,0.000000000000444,1.41E-023,0.1873919208,1.0959867,6.98E-242,2.65E-030,4.473829374,5.344499156,42.51470588
50,25,2,0.1,2,30.63144076,13.1656603,16.52399296,7.711766492,681.5750808,2.046875,0,0,12.01625153,4.433209846,5.83E-062,2.19E-023,1.143886435,3.009800585,8.61E-298,9.25E-044,16.82844127,5.85429707,31.33333333
50,25,15,0.1,2,30.63144076,17.35617801,16.52399296,12.78658081,460.4850057,2.234375,0,0,6.350844148,4.646486891,7.8E-044,1.96E-027,0.5317553815,1.784877994,1.42E-260,3.86E-035,7.998799085,7.503427584,42.125
50,25,40,0.1,2,30.63144076,9.235767833,16.52399296,6.474462882,706.060676,2.40625,4.22E-243,1.12E-043,4.704580469,5.685878778,8.55E-073,2.42E-025,0.5758248355,3.039143381,8.67E-116,1.34E-028,5.470179462,8.328296498,43.70209673
50,25,15,0.1,2,30.63144076,10.80037328,16.52399296,7.696421464,644.5361513,2.171875,0,0,5.501455369,5.49492148,0.000000000505,1.64E-021,0.9309435516,3.360672478,9.08E-223,2.72E-031,7.108420995,7.625688835,42.83088235
50,25,15,0.5,2,30.63144076,12.33478081,16.52399296,8.075738045,544.7852906,2.234375,2.86E-296,0,2.632129462,3.655370276,6.14E-037,0.00000000000243,0.3302571445,2.346723896,7.1E-191,7.81E-032,3.212364102,4.961881832,42.13970588
50,25,15,0.99,2,30.63144076,14.40885283,16.52399296,9.818038782,446.5708621,2.09375,0,0,1.987588532,2.918821942,1.78E-022,2.66E-019,0.44207034,2.054347287,5.02E-246,1.57E-036,2.491683549,3.781886361,41.69852941
50,25,15,0.1,1,30.63144076,16.05508099,16.52399296,12.50392863,499.1607407,2.15625,0,0,20.87370868,7.221104795,6.55E-029,8.94E-026,0.5403956605,1.867086857,3.15E-306,2.32E-042,28.51719282,12.56638861,41.21323529
50,25,15,0.1,2,30.63144076,19.99463399,16.52399296,16.6773335,450.6866044,2.09375,3.29E-277,5E-43,5.185163001,4.488537805,1.67E-146,2.64E-033,0.5763805367,1.389811619,4.3E-154,1.41E-028,5.851414992,7.582208972,42.56617647
50,25,15,0.1,3,30.63144076,15.33461289,16.52399296,11.87282368,516.8973433,1.984375,2.65E-250,2.27E-038,4.093071355,4.549050618,1.04E-049,8.75E-028,0.9921581893,2.300838141,2.01E-149,8.37E-023,4.734149183,6.793595539,41.90441176
50,50,2,0.1,2,41.74943274,11.34430791,22.15019031,6.670645238,741.0758618,1.96875,0,0,23.1471242,7.337156608,4.48E-068,3.57E-024,3.052006484,5.913550512,0,1.4E-045,32.51709902,8.758440345,32.66666667
50,50,15,0.1,2,41.74943274,18.17341994,22.15019031,12.8175503,576.5024517,2.34375,2.82E-277,6.59E-044,7.253196476,6.207790605,7.71E-044,3.26E-028,0.6656604708,2.510169068,5.3E-152,6.26E-025,8.79838514,9.899380133,42.40441176
50,50,40,0.1,2,41.74943274,13.10999679,22.15019031,10.08110638,718.6344037,2.421875,3.14E-253,1.36E-043,7.853309253,7.456332657,6.4E-237,2E-39,0.9904179338,2.832533285,2.45E-150,4.23E-029,8.922697267,12.07258913,38.26582413
50,50,15,0.1,2,41.74943274,13.20780488,22.15019031,8.703808148,700.4688131,2.109375,0,0,8.503572599,6.99037775,0.00000000000748,0.00000000278,0.206727908,2.937312105,8.68E-214,8.84E-033,10.56818499,11.03683154,42.13970588
50,50,15,0.5,2,41.74943274,17.54192113,22.15019031,12.95382189,569.9250157,1.765625,3.3E-270,3.53E-041,4.213994164,4.700825579,6.43E-028,7.72E-025,1.039338502,2.969312594,6.66E-134,3.67E-025,5.331646375,6.42951391,42.94117647
50,50,15,0.99,2,41.74943274,14.22188493,22.15019031,9.649467505,615.3287059,2.203125,4.15E-294,1.82E-044,2.66669166,4.111493507,8.33E-027,3.83E-021,0.9770542422,3.111446537,1.5E-193,2.56E-032,3.355966969,5.109909078,43.99264706
50,50,15,0.1,1,41.74943274,17.18088899,22.15019031,13.48340161,616.7216421,1.8125,0,0,54.89239202,11.51167241,1.53E-035,1.05E-026,0.6916028969,2.330253887,0,1.4E-045,76.5034107,20.67811309,41.60294118
50,50,15,0.1,2,41.74943274,16.37856243,22.15019031,12.76589812,630.9638661,2.296875,6.28E-253,3.51E-042,7.293958699,6.654252675,2.32E-025,3.19E-021,0.8164017591,3.209135148,2.51E-134,4.54E-024,9.053830001,10.09375011,42.40441176
50,50,15,0.1,3,41.74943274,16.8122638,22.15019031,12.2103095,612.6310535,2.171875,9.26E-201,1.16E-039,5.939598956,6.137304998,1.96E-053,4.7E-030,0.9303148939,2.848384389,1.59E-098,6.3E-021,6.932168359,9.420860322,42.72058824
50,100,2,0.1,2,59.7546505,11.8628387,31.5579563,7.035504218,757.5486539,2.03125,0,0,68824.62054,1977.407133,1.25E-108,5.53E-028,4.501701181,7.672695378,0,0,97253.21972,3943.928301,33.33333333
50,100,15,0.1,2,59.7546505,13.50622887,31.5579563,10.54328442,838.6244313,1.90625,1.9E-271,4.9E-044,11.47399098,10.53148221,8.62E-123,3.4E-031,1.639675907,4.194899791,7.64E-151,5.47E-029,13.42750397,16.85772762,40.89705882
50,100,40,0.1,2,59.7546505,15.02747705,31.5579563,10.85760726,802.0222276,2.140625,2.71E-273,5.61E-045,11.63968875,10.01114254,2.36E-044,2.23E-028,1.243195984,4.163288708,1.46E-162,4.9E-027,14.17650025,15.84945664,36.09134727
50,100,15,0.1,2,59.7546505,9.582965407,31.5579563,6.658802378,926.34314,2.390625,0,0,12.13834424,11.41548654,1.49E-034,5.87E-026,1.81231231,6.501456633,8.2E-252,3.67E-035,15.58788183,16.32150009,41.02205882
